dates,eps_estimate,eps_actual,eps_pct_diff,ticker,country,category
2011-05-10,-0.11,-0.12,-9.09,ACAD,USA,pharmaceuticals
2011-08-10,-0.14,-0.12,14.29,ACAD,USA,pharmaceuticals
2011-11-09,-0.1,-0.1,0.0,ACAD,USA,pharmaceuticals
2012-03-06,-0.1,-0.1,0.0,ACAD,USA,pharmaceuticals
2012-05-08,-0.11,-0.12,-12.5,ACAD,USA,pharmaceuticals
2012-08-08,-0.12,-0.1,17.81,ACAD,USA,pharmaceuticals
2012-11-05,-0.09,-0.04,53.85,ACAD,USA,pharmaceuticals
2013-03-12,-0.09,-0.11,-20.55,ACAD,USA,pharmaceuticals
2013-05-07,-0.08,-0.08,2.7,ACAD,USA,pharmaceuticals
2013-08-06,-0.09,-0.11,-25.71,ACAD,USA,pharmaceuticals
2013-11-06,-0.12,-0.12,1.03,ACAD,USA,pharmaceuticals
2014-02-27,-0.13,-0.13,3.7,ACAD,USA,pharmaceuticals
2014-05-06,-0.13,-0.19,-46.15,ACAD,USA,pharmaceuticals
2014-08-05,-0.19,-0.22,-14.78,ACAD,USA,pharmaceuticals
2014-11-10,-0.22,-0.25,-15.13,ACAD,USA,pharmaceuticals
2015-02-26,-0.26,-0.28,-9.56,ACAD,USA,pharmaceuticals
2015-05-07,-0.27,-0.4,-48.15,ACAD,USA,pharmaceuticals
2015-08-06,-0.33,-0.39,-18.98,ACAD,USA,pharmaceuticals
2015-11-05,-0.4,-0.39,2.5,ACAD,USA,pharmaceuticals
2016-02-29,-0.38,-0.45,-18.08,ACAD,USA,pharmaceuticals
2016-05-05,-0.42,-0.45,-7.43,ACAD,USA,pharmaceuticals
2016-08-04,-0.49,-0.63,-28.57,ACAD,USA,pharmaceuticals
2016-11-07,-0.56,-0.61,-8.93,ACAD,USA,pharmaceuticals
2017-02-28,-0.65,-0.65,0.0,ACAD,USA,pharmaceuticals
2017-05-09,-0.73,-0.72,1.97,ACAD,USA,pharmaceuticals
2017-08-08,-0.72,-0.55,23.61,ACAD,USA,pharmaceuticals
2017-11-07,-0.62,-0.53,15.06,ACAD,USA,pharmaceuticals
2018-02-27,-0.58,-0.55,4.44,ACAD,USA,pharmaceuticals
2018-05-04,-0.55,-0.44,19.79,ACAD,USA,pharmaceuticals
2018-08-08,-0.45,-0.51,-12.78,ACAD,USA,pharmaceuticals
2018-11-06,-0.58,-0.5,13.49,ACAD,USA,pharmaceuticals
2019-02-26,-0.55,-0.5,9.09,ACAD,USA,pharmaceuticals
2019-05-01,-0.52,-0.59,-12.48,ACAD,USA,pharmaceuticals
2019-07-31,-0.45,-0.38,16.4,ACAD,USA,pharmaceuticals
2019-10-30,-0.4,-0.29,27.78,ACAD,USA,pharmaceuticals
2020-02-26,-0.36,-0.34,6.3,ACAD,USA,pharmaceuticals
2020-05-07,-0.48,-0.57,-18.68,ACAD,USA,pharmaceuticals
2020-08-05,-0.44,-0.27,38.97,ACAD,USA,pharmaceuticals
2020-11-04,-0.38,-0.54,-40.87,ACAD,USA,pharmaceuticals
2021-02-24,-0.47,-0.42,10.93,ACAD,USA,pharmaceuticals
2021-05-05,-0.53,-0.42,20.97,ACAD,USA,pharmaceuticals
2021-08-04,-0.3,-0.27,11.39,ACAD,USA,pharmaceuticals
2021-11-08,-0.26,-0.09,65.52,ACAD,USA,pharmaceuticals
2022-02-28,-0.24,-0.27,-13.56,ACAD,USA,pharmaceuticals
2022-05-04,-0.6,-0.33,45.1,ACAD,USA,pharmaceuticals
2022-08-08,-0.25,-0.21,15.2,ACAD,USA,pharmaceuticals
2022-11-02,-0.19,-0.17,10.29,ACAD,USA,pharmaceuticals
2023-02-27,-0.24,-0.26,-7.04,ACAD,USA,pharmaceuticals
2023-05-08,-0.21,-0.27,-25.75,ACAD,USA,pharmaceuticals
2023-08-02,-0.08,0.01,112.11,ACAD,USA,pharmaceuticals
2023-10-31,-0.43,,,ACAD,USA,pharmaceuticals
2024-02-26,,,,ACAD,USA,pharmaceuticals
2024-05-06,,,,ACAD,USA,pharmaceuticals
2024-07-31,,,,ACAD,USA,pharmaceuticals
2015-10-02,,,,ACI,USA,retail
2016-01-14,,,,ACI,USA,retail
2016-04-15,,,,ACI,USA,retail
2018-07-25,,,,ACI,USA,retail
2018-10-18,,,,ACI,USA,retail
2019-01-14,,,,ACI,USA,retail
2019-04-24,,,,ACI,USA,retail
2019-07-24,,,,ACI,USA,retail
2019-10-16,,,,ACI,USA,retail
2020-01-08,,,,ACI,USA,retail
2020-05-13,,,,ACI,USA,retail
2020-07-27,1.3,1.35,3.69,ACI,USA,retail
2020-10-20,0.26,0.6,128.72,ACI,USA,retail
2021-01-12,0.42,0.66,57.12,ACI,USA,retail
2021-04-26,0.51,0.6,16.89,ACI,USA,retail
2021-07-29,0.68,0.89,30.14,ACI,USA,retail
2021-10-18,0.45,0.64,42.0,ACI,USA,retail
2022-01-11,0.6,0.79,31.93,ACI,USA,retail
2022-04-12,0.64,0.75,16.35,ACI,USA,retail
2022-07-26,0.92,1.0,8.19,ACI,USA,retail
2022-10-18,0.65,0.72,10.66,ACI,USA,retail
2023-01-10,0.67,0.87,29.87,ACI,USA,retail
2023-04-11,0.67,0.79,17.44,ACI,USA,retail
2023-07-25,0.85,0.93,9.81,ACI,USA,retail
2023-10-16,0.56,,,ACI,USA,retail
2024-01-08,,,,ACI,USA,retail
2024-04-09,,,,ACI,USA,retail
2024-07-23,,,,ACI,USA,retail
2022-01-14,,,,ACLX,USA,pharmaceuticals
2022-02-07,,,,ACLX,USA,pharmaceuticals
2022-03-24,-2.46,-39.85,-1517.73,ACLX,USA,pharmaceuticals
2022-05-12,-0.95,-1.56,-63.64,ACLX,USA,pharmaceuticals
2022-08-15,-1.07,-0.88,17.99,ACLX,USA,pharmaceuticals
2022-11-14,-0.89,-2.12,-137.76,ACLX,USA,pharmaceuticals
2023-03-29,-0.42,-0.76,-82.4,ACLX,USA,pharmaceuticals
2023-05-08,1.82,-0.58,-131.83,ACLX,USA,pharmaceuticals
2023-08-14,-0.31,-0.5,-61.81,ACLX,USA,pharmaceuticals
1993-01-12,0.03,0.03,1.91,ADBE,USA,tech
1993-03-16,0.03,0.04,3.79,ADBE,USA,tech
